address,lon,lat,name,city,district,town,encode
嘉定区南翔镇管弄村,121.325059,31.316904,世达科创中心,上海市,嘉定区,南翔镇,0210605016
嘉定区南翔镇红翔村,121.305970,31.287701,银南翔佳苑,上海市,嘉定区,南翔镇,0210605017
嘉定区南苑一村,121.249755,31.372768,庆阳社区南苑一村,上海市,嘉定区,菊园新区,0210609007
嘉定区南苑七村,121.250557,31.367061,凤池社区南苑七村,上海市,嘉定区,菊园新区,0210609008
嘉定区南苑二村,121.247539,31.371870,南苑二村,上海市,嘉定区,菊园新区,0210609009
嘉定区南苑五村,121.251387,31.369079,凤池社区南苑五村东区,上海市,嘉定区,菊园新区,0210609010
嘉定区南苑八村,121.245518,31.367957,南苑八村,上海市,嘉定区,菊园新区,0210609011
嘉定区南辅路8号,121.298115,31.282252,上海南翔站专用线货场,上海市,嘉定区,江桥镇,0210608042
嘉定区博园路2199弄,121.259876,31.260783,马家村,上海市,嘉定区,江桥镇,0210608043
嘉定区博园路422号,121.179203,31.279979,上海外斯能源科技有限公司,上海市,嘉定区,安亭镇,0210604018
嘉定区博园路4508号,121.179203,31.279979,上海外斯能源科技有限公司,上海市,嘉定区,安亭镇,0210604018
嘉定区博园路7578号,121.169710,31.281890,上海市嘉定区安亭镇博园路7578号上海清枫花园酒店,上海市,嘉定区,安亭镇,0210604019
嘉定区博园路8200弄,121.157926,31.280117,鼎固华庭,上海市,嘉定区,安亭镇,0210604020
嘉定区博园路888号,121.205506,31.264264,虬泾桥农民小区,上海市,嘉定区,安亭镇,0210604021
嘉定区博园路898号,121.285425,31.255948,太太乐,上海市,嘉定区,江桥镇,0210608044
嘉定区博学路89号,121.310689,31.342462,文田物流园,上海市,嘉定区,马陆镇,0210607015
嘉定区卧龙路333弄,121.312386,31.270822,博威天禧嘉苑西区,上海市,嘉定区,江桥镇,0210608045
嘉定区双单路,121.263266,31.330866,绿地海域观园,上海市,嘉定区,马陆镇,0210607016
嘉定区双单路1353号,121.254349,31.327787,龙湖郦城东区,上海市,嘉定区,马陆镇,0210607008
嘉定区双单路1509弄,121.252026,31.326770,龙湖郦城西区,上海市,嘉定区,马陆镇,0210607017
嘉定区双单路1509弄龙湖郦城,121.252507,31.326742,龙湖郦城西区,上海市,嘉定区,马陆镇,0210607017
嘉定区双单路35弄,121.284240,31.337290,沥苑小区,上海市,嘉定区,马陆镇,0210607018
嘉定区双单路36弄,121.282498,31.340450,彭封路南区161弄,上海市,嘉定区,马陆镇,0210607019
嘉定区双单路718弄,121.264613,31.332672,永盛公寓,上海市,嘉定区,马陆镇,0210607020
嘉定区双单路889弄,121.262346,31.330755,绿地海域观园,上海市,嘉定区,马陆镇,0210607016
嘉定区双单路与德立路路口工地,121.276685,31.337313,上海市嘉定区马陆镇双单路,上海市,嘉定区,马陆镇,0210607021
嘉定区双单路北和德立路东交叉口工地,121.275402,31.340265,安群防火设备(上海)有限公司,上海市,嘉定区,马陆镇,0210607022
嘉定区双单路德立路交叉口工地,121.264434,31.332145,永盛公寓,上海市,嘉定区,马陆镇,0210607020
嘉定区双单路德立路工地,121.275402,31.340265,安群防火设备(上海)有限公司,上海市,嘉定区,马陆镇,0210607022
嘉定区双单路德立路工地宿舍,121.275402,31.340265,安群防火设备(上海)有限公司,上海市,嘉定区,马陆镇,0210607022
嘉定区双坪路200弄,121.269962,31.405136,旭辉锦庭,上海市,嘉定区,菊园新区,0210609012
嘉定区双坪路285弄,121.269312,31.405782,嘉房景悦名苑,上海市,嘉定区,菊园新区,0210609013
嘉定区双塘村,121.235375,31.476757,双塘村,上海市,嘉定区,华亭镇,0210611013
嘉定区双河路424号,121.379735,31.254779,双河社区嘉利坊,上海市,嘉定区,真新街道,0210601026
嘉定区双河路437弄,121.377090,31.258755,安盛苑,上海市,嘉定区,真新街道,0210601027
